"b_Intercept","alpha"
143.638008158553,150.317925714587
145.202302493989,150.322171307983
144.975740421321,150.321792532033
144.692759361253,150.308084598119
143.885427649832,150.304247816655
143.920213336107,150.309292536641
143.254567114464,150.309739649282
143.327865846395,150.309275361344
143.276851872142,150.30827017508
142.804183369721,150.305164836135
143.196717381528,150.297074957608
143.567272278732,150.293834479011
143.026421704914,150.293244946752
142.562676380971,150.294577714553
144.540277286539,150.303907572584
144.515582779705,150.263315414786
144.352439050438,150.262375244616
144.474788729929,150.265446413965
143.658936078303,150.265646300688
143.579955923202,150.265819261339
143.48021788424,150.263466138814
144.292597505539,150.265001864388
144.272653690264,150.264517654382
145.238781063063,150.263156371166
145.933377252291,150.262874069018
145.309191907284,150.264878117846
145.881041538047,150.269595927675
145.123511717004,150.270776549838
145.555393941428,150.275813620663
146.337890809532,150.275356611809
146.292353715595,150.276068549236
146.006033833343,150.285098672156
147.422103615106,150.284632542408
148.81175620404,150.281649012859
150.708084525318,150.283041848299
150.096349247811,150.280635100639
149.499324386785,150.274726460785
149.053401372297,150.273027691578
151.156287755884,150.272476909663
151.088578657224,150.273672958563
150.529016898204,150.276282405184
150.878619145948,150.271471304147
150.395625571983,150.272043947429
150.010306903324,150.273057843
148.689011334239,150.27241985238
148.583165513902,150.271011427158
149.68485358743,150.270876060131
148.984968492749,150.270978472716
149.367928763371,150.26866118675
148.979617761267,150.268893882966
150.029931323667,150.265060052311
149.38079411146,150.264627375014
149.386906582984,150.265074204661
149.437274731024,150.266271022909
149.635817830528,150.260810535927
150.603231216543,150.260393612207
156.162347333514,150.259651171712
155.652614912026,150.259427093605
155.349009761834,150.259782795059
155.640450885605,150.259947088872
155.329810707018,150.260956795287
153.932323438009,150.260956795287
154.150269199939,150.260956795287
154.553149852269,150.260270728591
154.316499548061,150.26052338883
154.018934539457,150.260701635696
155.289689737249,150.261229608574
155.169181012748,150.253259126794
155.322104828509,150.254210059146
155.097094434134,150.250811096055
155.001791066772,150.24522538707
154.997548145619,150.248731661491
154.625692225536,150.24858142633
154.769504022035,150.248984699567
155.140726364081,150.249450941273
154.513797576749,150.249820946654
154.387983668258,150.249820946654
155.143148673836,150.249109347994
154.359951883437,150.249980664986
155.12315520821,150.247507282635
155.129844525084,150.247743088306
155.888518701912,150.247151034095
155.497455899786,150.248244046361
155.687192950372,150.247877242383
155.900820688924,150.248597432078
155.858301567089,150.248724256794
154.799184748696,150.248960530105
153.405609513691,150.248444454022
153.829148258982,150.248375835597
153.001002262954,150.247898121482
152.016432653733,150.246981104313
152.431605654751,150.247062102692
153.810994958406,150.246497008335
153.592513364352,150.247263034118
154.58504068547,150.247345458152
154.798055039086,150.249771210928
154.573445598405,150.249126243853
154.439163656821,150.252162910387
153.753400265651,150.251039601832
155.207230597923,150.249829439245
155.626372553983,150.249370602449
155.587820165567,150.242425364517
155.488340635538,150.242264437058
159.338309866813,150.241994608799
159.229584445026,150.24141477611
158.319037793427,150.241339024548
158.489484228669,150.24082217986
158.413922349356,150.240550721035
158.833435652248,150.24073026564
158.978549115915,150.240934294608
158.978354950912,150.239706130413
159.218575565852,150.239706130413
159.39943415619,150.239760087306
161.125359932082,150.239182616477
160.748355095251,150.239182616477
160.737566893035,150.238861740541
160.660044569728,150.238856590272
161.497346037557,150.238458808841
